,final_score,num_moves,nodes_expanded,horizontal_distance,vertical_distance,euclidean_distance
75,-119,85,75301,11,62,62.96824596572466
76,-417,246,312413,122,83,147.5567687366459
77,-332,183,258108,131,31,134.61797799699713
78,-598,308,537468,114,153,190.80094339389416
79,51,18,2318,12,5,13.0
80,-363,181,246242,142,9,142.28492541376264
81,-169,129,113808,29,73,78.54934754662193
82,-271,166,175524,104,35,109.73149046650191
83,-80,75,36028,7,58,58.42088667591412
84,-227,148,141036,78,44,89.55445270895244
